epoch,acc,auc,model,db_size
1,0.11,0.5192315578460693,General,1000
2,0.095,0.5114971399307251,General,1000
3,0.095,0.5096089243888855,General,1000
4,0.085,0.511288046836853,General,1000
5,0.1,0.5122132301330566,General,1000
6,0.095,0.5153474807739258,General,1000
7,0.105,0.5169006586074829,General,1000
8,0.105,0.5168513059616089,General,1000
9,0.105,0.5181739926338196,General,1000
10,0.12,0.5219175219535828,General,1000
11,0.12,0.5243531465530396,General,1000
12,0.13,0.5273006558418274,General,1000
13,0.115,0.5296964645385742,General,1000
14,0.115,0.5284450054168701,General,1000
15,0.14,0.5316265225410461,General,1000
16,0.125,0.5320262312889099,General,1000
17,0.135,0.5332627892494202,General,1000
18,0.135,0.5364863872528076,General,1000
19,0.135,0.5385100841522217,General,1000
20,0.135,0.5401255488395691,General,1000
21,0.145,0.5423425436019897,General,1000
22,0.14,0.5440818071365356,General,1000
23,0.14,0.546378493309021,General,1000
24,0.135,0.5478695034980774,General,1000
25,0.14,0.5456998944282532,General,1000
26,0.135,0.5508872270584106,General,1000
27,0.14,0.5512272119522095,General,1000
28,0.135,0.5515099167823792,General,1000
29,0.145,0.5550414323806763,General,1000
30,0.14,0.5540615916252136,General,1000
31,0.14,0.5553566217422485,General,1000
32,0.135,0.555374801158905,General,1000
33,0.125,0.5575517416000366,General,1000
34,0.125,0.5603185296058655,General,1000
35,0.14,0.5616063475608826,General,1000
36,0.135,0.5613272190093994,General,1000
37,0.14,0.5642322301864624,General,1000
38,0.13,0.5648284554481506,General,1000
39,0.14,0.564741313457489,General,1000
40,0.145,0.565213143825531,General,1000
41,0.14,0.5675725936889648,General,1000
42,0.14,0.5677326917648315,General,1000
43,0.15,0.5712424516677856,General,1000
44,0.15,0.5706167817115784,General,1000
45,0.16,0.5709808468818665,General,1000
46,0.155,0.5699784755706787,General,1000
47,0.165,0.5722305178642273,General,1000
48,0.15,0.5712999105453491,General,1000
49,0.145,0.5733516812324524,General,1000
50,0.15,0.5725473165512085,General,1000
