epoch,acc,auc,model,db_size
1,0.12,0.5261098146438599,Hybrid,1000
2,0.115,0.540885329246521,Hybrid,1000
3,0.13,0.5565274953842163,Hybrid,1000
4,0.17,0.5785545110702515,Hybrid,1000
5,0.18,0.5889610648155212,Hybrid,1000
6,0.19,0.592038631439209,Hybrid,1000
7,0.2,0.5930355787277222,Hybrid,1000
8,0.2,0.5941056609153748,Hybrid,1000
9,0.2,0.5964539051055908,Hybrid,1000
10,0.2,0.6006065607070923,Hybrid,1000
11,0.2,0.6019983887672424,Hybrid,1000
12,0.215,0.6025053262710571,Hybrid,1000
13,0.2,0.6049038171768188,Hybrid,1000
14,0.2,0.6070206761360168,Hybrid,1000
15,0.205,0.606927216053009,Hybrid,1000
16,0.195,0.6071066856384277,Hybrid,1000
17,0.195,0.6058350205421448,Hybrid,1000
18,0.21,0.6046158671379089,Hybrid,1000
19,0.195,0.606889545917511,Hybrid,1000
20,0.2,0.6068430542945862,Hybrid,1000
21,0.205,0.6078345775604248,Hybrid,1000
22,0.2,0.6063753366470337,Hybrid,1000
23,0.21,0.6089740991592407,Hybrid,1000
24,0.2,0.6088154911994934,Hybrid,1000
25,0.205,0.604330837726593,Hybrid,1000
26,0.205,0.608424723148346,Hybrid,1000
27,0.195,0.6090525388717651,Hybrid,1000
28,0.205,0.6084409952163696,Hybrid,1000
29,0.205,0.605901300907135,Hybrid,1000
30,0.2,0.6061127781867981,Hybrid,1000
31,0.2,0.6069206595420837,Hybrid,1000
32,0.2,0.6064459681510925,Hybrid,1000
33,0.205,0.6040505170822144,Hybrid,1000
34,0.205,0.607745885848999,Hybrid,1000
35,0.2,0.6085601449012756,Hybrid,1000
36,0.205,0.6048007011413574,Hybrid,1000
37,0.21,0.6054915189743042,Hybrid,1000
38,0.205,0.6060720682144165,Hybrid,1000
39,0.2,0.6062067747116089,Hybrid,1000
40,0.195,0.6064516305923462,Hybrid,1000
41,0.2,0.6081154346466064,Hybrid,1000
42,0.195,0.6065073609352112,Hybrid,1000
43,0.205,0.6063328385353088,Hybrid,1000
44,0.2,0.6093196272850037,Hybrid,1000
45,0.205,0.6072872877120972,Hybrid,1000
46,0.205,0.6068142652511597,Hybrid,1000
47,0.205,0.6065918803215027,Hybrid,1000
48,0.2,0.6080093383789062,Hybrid,1000
49,0.2,0.6065540909767151,Hybrid,1000
50,0.205,0.6058773994445801,Hybrid,1000
