epoch,acc,auc,model,db_size
1,0.1275,0.5685923099517822,Invariant,2000
2,0.19,0.6091265678405762,Invariant,2000
3,0.19,0.603266179561615,Invariant,2000
4,0.1975,0.6088098287582397,Invariant,2000
5,0.1975,0.6038552522659302,Invariant,2000
6,0.1975,0.6131225824356079,Invariant,2000
7,0.1925,0.611030101776123,Invariant,2000
8,0.2,0.6140579581260681,Invariant,2000
9,0.2,0.6149407625198364,Invariant,2000
10,0.195,0.6136796474456787,Invariant,2000
11,0.2025,0.6115430593490601,Invariant,2000
12,0.2025,0.6182558536529541,Invariant,2000
13,0.205,0.6178916096687317,Invariant,2000
14,0.2025,0.6178765892982483,Invariant,2000
15,0.2025,0.6226950287818909,Invariant,2000
16,0.2025,0.6227072477340698,Invariant,2000
17,0.205,0.6259779334068298,Invariant,2000
18,0.2,0.6237214803695679,Invariant,2000
19,0.2075,0.6219164133071899,Invariant,2000
20,0.205,0.6220186352729797,Invariant,2000
21,0.205,0.6222051978111267,Invariant,2000
22,0.2025,0.6226260662078857,Invariant,2000
23,0.195,0.6190823316574097,Invariant,2000
24,0.2,0.6264940500259399,Invariant,2000
25,0.2025,0.6218780279159546,Invariant,2000
26,0.205,0.6236223578453064,Invariant,2000
27,0.1975,0.6213414669036865,Invariant,2000
28,0.205,0.6253474950790405,Invariant,2000
29,0.2025,0.6235939860343933,Invariant,2000
30,0.21,0.6293541789054871,Invariant,2000
31,0.2075,0.6270588636398315,Invariant,2000
32,0.195,0.6245728135108948,Invariant,2000
33,0.2075,0.6311511993408203,Invariant,2000
34,0.205,0.6232602596282959,Invariant,2000
35,0.21,0.6254794001579285,Invariant,2000
36,0.21,0.6253604888916016,Invariant,2000
37,0.2125,0.6294742822647095,Invariant,2000
38,0.21,0.6266962289810181,Invariant,2000
39,0.21,0.6277822852134705,Invariant,2000
40,0.205,0.6302236914634705,Invariant,2000
41,0.2125,0.6246038675308228,Invariant,2000
42,0.2125,0.6267098188400269,Invariant,2000
43,0.2125,0.6285004615783691,Invariant,2000
44,0.2125,0.6253749132156372,Invariant,2000
45,0.2125,0.6273471117019653,Invariant,2000
46,0.2075,0.6305185556411743,Invariant,2000
47,0.2125,0.6253060698509216,Invariant,2000
48,0.215,0.6267740726470947,Invariant,2000
49,0.2125,0.6298980712890625,Invariant,2000
50,0.2125,0.6298712491989136,Invariant,2000
